"Facility ID","Facility Name","ZIP Code",Condition,"Measure ID","Measure Name",Score,Sample
010062,"WIREGRASS MEDICAL CENTER",36340,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",90,40
010065,"RUSSELL MEDICAL CENTER",35010,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,63
010073,"CLAY COUNTY HOSPITAL",36251,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",97,32
010078,"NORTHEAST ALABAMA REGIONAL MEDICAL CENTER",36207,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",94,259
010079,"ATHENS LIMESTONE HOSPITAL",35611,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",97,72
010083,"BALDWIN HEALTH",36535,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",92,72
010085,"DECATUR MORGAN HOSPITAL - DECATUR CAMPUS",35601,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010086,"NORTHWEST MEDICAL CENTER",35594,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010087,"USA HEALTH UNIVERSITY HOSPITAL",36617,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,169
010089,"WALKER BAPTIST MEDICAL CENTER",35502,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",99,121
010090,"USA HEALTH HCA PROVIDENCE HOSPITAL, LLC",36608,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",95,97
010091,"GROVE HILL MEMORIAL HOSPITAL",36451,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",54,26
010092,"DCH REGIONAL MEDICAL CENTER",35401,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",93,42
010095,"HALE COUNTY HOSPITAL",36744,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010097,"ELMORE COMMUNITY HOSPITAL",36092,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",75,28
010099,"D W MCMILLAN MEMORIAL HOSPITAL",36426,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010100,"THOMAS HOSPITAL",36532,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,78
010101,"CITIZENS BAPTIST MEDICAL CENTER",35160,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,13
010102,"J PAUL JONES HOSPITAL",36726,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010103,"PRINCETON BAPTIST MEDICAL CENTER",35211,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",92,131
010104,"GRANDVIEW MEDICAL CENTER",35243,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",71,63
010108,"PRATTVILLE BAPTIST HOSPITAL",36067,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",99,106
010110,"BULLOCK COUNTY HOSPITAL",36089,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010112,"WHITFIELD REGIONAL HOSPITAL",36732,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",95,19
010113,"MOBILE INFIRMARY MEDICAL CENTER",36607,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,72
010114,"MEDICAL WEST, AN AFFILIATE OF UAB HEALTH SYSTEM",35022,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",94,35
010118,"VAUGHAN REGIONAL MEDICAL CENTER PARKWAY CAMPUS",36701,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,68
010120,"MONROE COUNTY HOSPITAL",36460,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,73
010125,"LAKELAND COMMUNITY HOSPITAL",35565,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010126,"TROY REGIONAL MEDICAL CENTER",36081,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010128,"JACKSON MEDICAL CENTER",36545,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010129,"NORTH BALDWIN INFIRMARY",36507,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",64,28
010130,"ST VINCENT'S ST CLAIR",35125,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",89,70
010131,"CRESTWOOD MEDICAL CENTER",35801,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",95,66
010138,"HILL HOSPITAL OF SUMTER COUNTY",36925,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010139,"BROOKWOOD BAPTIST MEDICAL CENTER",35216,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010144,"SPRINGHILL MEDICAL CENTER",36608,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,31
010148,"EVERGREEN MEDICAL CENTER",36401,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010149,"BAPTIST MEDICAL CENTER EAST",36117,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,110
010150,"THE HEALTH CARE AUTHORITY OF THE CITY OF GREENVILLE- LV STABLER HOSPITAL",36037,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,27
010157,"NORTH ALABAMA SHOALS HOSPITAL",35661,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",75,12
010158,"RUSSELLVILLE HOSPITAL",35653,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,26
010164,"COOSA VALLEY MEDICAL CENTER",35150,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",99,92
010168,"JACK HUGHSTON MEMORIAL HOSPITAL",36867,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010169,"ATMORE COMMUNITY HOSPITAL",36502,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010173,"ST VINCENT'S CHILTON",35045,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
010175,"EAMC - LANIER",36854,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
011300,"WASHINGTON COUNTY HOSPITAL",36518,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
011302,"RED BAY HOSPITAL",35582,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
011304,"OCHSNER CHOCTAW GENERAL",36904,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
011305,"ST VINCENTS BLOUNT",35121,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",96,25
011306,"TANNER MEDICAL CENTER-EAST ALABAMA",36278,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,226
011307,"MEDICAL CENTER BARBOUR",36027,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
013300,"THE CHILDREN'S HOSPITAL OF ALABAMA",35233,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
013301,"USA HEALTH CHILDREN'S & WOMEN'S HOSPITAL",36604,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
020001,"PROVIDENCE ALASKA MEDICAL CENTER",99508,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",80,89
020006,"MAT-SU REGIONAL MEDICAL CENTER",99645,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",88,64
020008,"BARTLETT REGIONAL HOSPITAL",99801,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",76,104
020012,"FAIRBANKS MEMORIAL HOSPITAL",99701,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",63,93
020017,"ALASKA REGIONAL HOSPITAL",99508,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",96,82
020018,"YUKON KUSKOKWIM DELTA REG HOSPITAL",99559,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
020024,"CENTRAL PENINSULA GENERAL HOSPITAL",99669,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",96,27
020026,"ALASKA NATIVE MEDICAL CENTER",99508,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",87,94
02013F,"673rd Medical Group (Joint Base Elmendorf-Richardson)",99506,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",79,29
02014F,"Bassett ACH (FT Wainwright)",99703,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",95,40
021301,"PROVIDENCE VALDEZ MEDICAL CENTER",99686,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021302,"PROVIDENCE SEWARD HOSPITAL",99664,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021304,"PETERSBURG MEDICAL CENTER",99833,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021305,"SEARHC WRANGELL MEDICAL CENTER-CAH",99929,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021306,"PROVIDENCE KODIAK ISLAND MEDICAL CTR",99615,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021307,"CORDOVA COMMUNITY MEDICAL CENTER",99574,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021308,"NORTON SOUND REGIONAL HOSPITAL",99762,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021309,"BRISTOL BAY AREA HEALTH CORPORATION",99576,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021310,"MANIILAQ HEALTH CENTER",99752,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021311,"PEACEHEALTH KETCHIKAN MEDICAL CENTER",99901,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",89,65
021312,"SAMUEL SIMMONDS MEMORIAL HOSPITAL",99723,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
021313,"SOUTH PENINSULA HOSPITAL",99603,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,194
021314,"SOUTHEAST ALASKA REGIONAL HEALTH CONSORTIUM",99835,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030002,"BANNER - UNIVERSITY MEDICAL CENTER PHOENIX",85006,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,453
030006,"TUCSON MEDICAL CENTER",85712,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",92,36
030007,"VERDE VALLEY MEDICAL CENTER",86326,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",91,117
030010,"ST. MARY'S HOSPITAL",85745,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",91,55
030011,"ST JOSEPH'S HOSPITAL",85711,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",89,143
030012,"YAVAPAI REGIONAL MEDICAL CENTER",86301,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,80
030013,"YUMA REGIONAL MEDICAL CENTER",85364,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",98,92
030014,"HONOR HEALTH JOHN C. LINCOLN MEDICAL CENTER",85020,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",81,134
030016,"BANNER CASA GRANDE MEDICAL CENTER",85122,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,89
030022,"VALLEYWISE HEALTH MEDICAL CENTER",85008,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,76
030023,"FLAGSTAFF MEDICAL CENTER",86001,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030024,"ST. JOSEPH'S HOSPITAL AND MEDICAL CENTER",85013,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",92,65
030030,"ABRAZO CENTRAL CAMPUS",85015,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",92,25
030036,"CHANDLER REGIONAL MEDICAL CENTER",85224,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,67
030037,"HONORHEALTH TEMPE MEDICAL CENTER",85006,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",59,27
030038,"HONORHEALTH SCOTTSDALE OSBORN MEDICAL CENTER",85251,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",94,66
030043,"CANYON VISTA MEDICAL CENTER",85635,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",96,27
030055,"KINGMAN REGIONAL MEDICAL CENTER",86401,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",65,132
030061,"BANNER BOSWELL MEDICAL CENTER",85351,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,27
030062,"SUMMIT HEALTHCARE REGIONAL MEDICAL CENTER",85901,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",81,32
030064,"BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS",85719,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",100,83
030065,"BANNER DESERT MEDICAL CENTER",85202,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",97,30
030069,"HAVASU REGIONAL MEDICAL CENTER",86403,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",97,105
030071,"FORT DEFIANCE INDIAN HOSPITAL",86504,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030073,"TUBA CITY REGIONAL HEALTH CARE CORPORATION",86045,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",81,69
030074,"SELLS HOSPITAL",85634,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030078,"PHOENIX INDIAN MEDICAL CENTER",85016,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030083,"ABRAZO SCOTTSDALE CAMPUS",85032,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030084,"CHINLE COMPREHENSIVE HEALTH CARE FACILITY",86503,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030085,"NORTHWEST MEDICAL CENTER",85741,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",95,116
030087,"HONORHEALTH SCOTTSDALE SHEA MEDICAL CENTER",85260,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",84,81
030088,"BANNER BAYWOOD MEDICAL CENTER",85206,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",97,30
030089,"BANNER THUNDERBIRD MEDICAL CENTER",85306,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",98,100
030092,"HONORHEALTH DEER VALLEY MEDICAL CENTER",85027,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",99,77
030093,"BANNER DEL E. WEBB MEDICAL CENTER",85375,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",98,60
030094,"ABRAZO ARROWHEAD HOSPITAL",85308,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",78,103
030101,"WESTERN ARIZONA REGIONAL MEDICAL CENTER",86442,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",75,61
030103,"MAYO CLINIC HOSPITAL",85054,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients",72,181
030105,"BANNER HEART HOSPITAL",85206,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030107,"ARIZONA SPINE AND JOINT HOSPITAL",85206,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
030108,"THE CORE INSTITUTE SPECIALTY HOSP",85015,"Colonoscopy care",OP_29,"Endoscopy/polyp surveillance: appropriate follow-up interval for normal colonoscopy in average risk patients","Not Available","Not Available"
