"Facility ID","SMD Measure Description","SMD %","SMD Denominator","SMD Footnote","SUB-2/-2a Measure Description","SUB-2 %","SUB-2 Denominator","SUB-2 Footnote","SUB-2a %","SUB-2a Denominator","SUB-2a Footnote","SUB-3/-3a Measure Description","SUB-3 %","SUB-3 Denominator","SUB-3 Footnote","SUB-3a %","SUB-3a Denominator","SUB-3a Footnote","TOB-3/-3a Measure Description","TOB-3 %","TOB-3 Denominator","TOB-3 Footnote","TOB-3a %","TOB-3a Denominator","TOB-3a Footnote","TR-1 Measure Description","TR-1 %","TR-1 Denominator","TR-1 Footnote","Start Date","End Date","FAPH Measure Description","FAPH-30 %","FAPH-30 Denominator","FAPH-30 Footnote","FAPH-7 %","FAPH-7 Denominator","FAPH-7 Footnote","FAPH Measure Start Date","FAPH Measure End Date","MedCont Measure Desc","MedCont %","MedCont Denominator","MedCont Footnote","MedCont Measure Start Date","MedCont Measure End Date","READM-30-IPF Measure Desc","READM-30-IPF Category","READM-30-IPF Denominator","READM-30-IPF Rate","READM-30-IPF Lower Estimate","READM-30-IPF Higher Estimate","READM-30-IPF Footnote","READM-30-IPF Start Date","READM-30-IPF End Date","IMM-2 Measure Description","IMM-2 %","IMM-2 Denominator","IMM-2 Footnote","Flu Season Start Date","Flu Season End Date"
010062,"Screening for metabolic disorders (SMD)",6,140,,"Alcohol use brief intervention provided or offered",0,209,,"Not Available","Not Available",7,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge",0,17,,0,17,,"Transition record with specified elements received by discharged patients (TR1)",1,209,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",142,17.4,13.1,22.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",0,55,,10/01/2023,03/31/2024
010078,"Screening for metabolic disorders (SMD)",98,413,,"Alcohol use brief intervention provided or offered",98,83,,100,81,,"Alcohol and other drug use disorder treatment provided or offered at discharge",97,187,,94,187,,"Tobacco use treatment provided or offered at discharge",92,284,,72,284,,"Transition record with specified elements received by discharged patients (TR1)",92,566,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",96,23.3,17.8,29.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",83,322,,10/01/2023,03/31/2024
010085,"Screening for metabolic disorders (SMD)",98,437,,"Alcohol use brief intervention provided or offered",81,16,,81,16,,"Alcohol and other drug use disorder treatment provided or offered at discharge",8,40,,8,40,,"Tobacco use treatment provided or offered at discharge",40,53,,19,53,,"Transition record with specified elements received by discharged patients (TR1)",85,608,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",74,16.4,11.6,22.3,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",89,298,,10/01/2023,03/31/2024
010086,"Screening for metabolic disorders (SMD)",89,101,,"Alcohol use brief intervention provided or offered",36,11,,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge",55,11,,36,11,,"Tobacco use treatment provided or offered at discharge",100,14,,100,14,,"Transition record with specified elements received by discharged patients (TR1)",82,155,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",53,18.1,12.7,25.4,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",83,63,,10/01/2023,03/31/2024
010089,"Screening for metabolic disorders (SMD)",97,760,,"Alcohol use brief intervention provided or offered",94,34,,97,33,,"Alcohol and other drug use disorder treatment provided or offered at discharge",95,115,,95,115,,"Tobacco use treatment provided or offered at discharge",96,135,,96,135,,"Transition record with specified elements received by discharged patients (TR1)",98,997,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",59.4,69,,39.1,69,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",89.2,93,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",234,19.9,15.9,24.4,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",100,339,,10/01/2023,03/31/2024
010092,"Screening for metabolic disorders (SMD)",91,432,,"Alcohol use brief intervention provided or offered",71,82,,74,72,,"Alcohol and other drug use disorder treatment provided or offered at discharge",99,122,,99,122,,"Tobacco use treatment provided or offered at discharge",83,246,,50,246,,"Transition record with specified elements received by discharged patients (TR1)",39,638,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",32.7,101,,12.9,101,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",79.3,135,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",219,16.5,12.9,20.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",85,303,,10/01/2023,03/31/2024
010103,"Screening for metabolic disorders (SMD)",99,203,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge",93,42,,93,42,,"Tobacco use treatment provided or offered at discharge",89,45,,87,45,,"Transition record with specified elements received by discharged patients (TR1)",98,277,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",52,19.1,13.7,26.1,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",99,141,,10/01/2023,03/31/2024
010104,"Screening for metabolic disorders (SMD)",78,193,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Transition record with specified elements received by discharged patients (TR1)",32,319,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",79,20.5,15.0,27.9,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",86,131,,10/01/2023,03/31/2024
010108,"Screening for metabolic disorders (SMD)",98,212,,"Alcohol use brief intervention provided or offered",92,40,,82,39,,"Alcohol and other drug use disorder treatment provided or offered at discharge",97,60,,95,60,,"Tobacco use treatment provided or offered at discharge",48,85,,41,85,,"Transition record with specified elements received by discharged patients (TR1)",84,359,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",75,18.5,13.4,25.3,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,156,,10/01/2023,03/31/2024
010110,"Screening for metabolic disorders (SMD)",99,660,,"Alcohol use brief intervention provided or offered",0,86,,"Not Available","Not Available",7,"Alcohol and other drug use disorder treatment provided or offered at discharge",2,100,,2,100,,"Tobacco use treatment provided or offered at discharge",0,68,,0,68,,"Transition record with specified elements received by discharged patients (TR1)",0,783,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",40,40,,15,40,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",91,18.8,14.0,24.3,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",80,193,,10/01/2023,03/31/2024
010112,"Screening for metabolic disorders (SMD)",97,278,,"Alcohol use brief intervention provided or offered",100,37,,100,37,,"Alcohol and other drug use disorder treatment provided or offered at discharge",94,50,,94,50,,"Tobacco use treatment provided or offered at discharge",96,199,,86,199,,"Transition record with specified elements received by discharged patients (TR1)",100,487,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",66,18.6,13.3,25.6,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",93,225,,10/01/2023,03/31/2024
010113,"Screening for metabolic disorders (SMD)",100,318,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Transition record with specified elements received by discharged patients (TR1)",35,398,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",86,19.5,14.6,25.4,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",95,150,,10/01/2023,03/31/2024
010114,"Screening for metabolic disorders (SMD)",79,211,,"Alcohol use brief intervention provided or offered",0,18,,"Not Available","Not Available",7,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Transition record with specified elements received by discharged patients (TR1)",0,274,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",83,20.3,15.0,27.1,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",61,118,,10/01/2023,03/31/2024
010125,"Screening for metabolic disorders (SMD)",99,99,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Transition record with specified elements received by discharged patients (TR1)",100,123,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",90,20.7,15.1,27.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",97,61,,10/01/2023,03/31/2024
010126,"Screening for metabolic disorders (SMD)",100,174,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",1,"Not Available","Not Available",1,"Tobacco use treatment provided or offered at discharge",74,53,,72,53,,"Transition record with specified elements received by discharged patients (TR1)",97,241,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",51,17,11.8,23.5,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",100,101,,10/01/2023,03/31/2024
010129,"Screening for metabolic disorders (SMD)",99,269,,"Alcohol use brief intervention provided or offered",17,18,,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge",71,17,,65,17,,"Tobacco use treatment provided or offered at discharge",57,30,,20,30,,"Transition record with specified elements received by discharged patients (TR1)",0,352,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",101,17.5,12.4,23.8,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",96,168,,10/01/2023,03/31/2024
010139,"Screening for metabolic disorders (SMD)",80,413,,"Alcohol use brief intervention provided or offered",95,60,,100,57,,"Alcohol and other drug use disorder treatment provided or offered at discharge",55,143,,52,143,,"Tobacco use treatment provided or offered at discharge",53,162,,36,162,,"Transition record with specified elements received by discharged patients (TR1)",62,665,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization",52.3,109,,24.8,109,,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge",71.8,177,,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",323,21.2,17.7,25.0,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",88,324,,10/01/2023,03/31/2024
010150,"Screening for metabolic disorders (SMD)",98,97,,"Alcohol use brief intervention provided or offered","Not Available","Not Available",1,"Not Available","Not Available",1,"Alcohol and other drug use disorder treatment provided or offered at discharge","Not Available","Not Available",7,"Not Available","Not Available",7,"Tobacco use treatment provided or offered at discharge",100,12,,100,12,,"Transition record with specified elements received by discharged patients (TR1)",100,119,,01/01/2023,12/31/2023,"Percent of patients receiving follow-up care within 30 days (FAPH-30) or within 7 days (FAPH-7) after psychiatric hospitalization","Not Available","Not Available",1,"Not Available","Not Available",1,07/01/2022,06/30/2023,"Medication Continuation Following Inpatient Psychiatric Discharge","Not Available","Not Available",1,07/01/2021,06/30/2023,"Patients readmitted to any hospital within 30 days of discharge from the inpatient psychiatric facility (READM-30-IPF)","No Different Than the National Rate",77,19.8,14.3,27.4,,07/01/2021,06/30/2023,"Influenza immunization (IPFQR-IMM-2)",100,56,,10/01/2023,03/31/2024
